weight,prices,water_consumption,income_impact,water_savings_pct,feasible
0.1,[0.2        0.2        0.2        0.4282687  0.44323053],404.6800804095517,-0.0033777227971518347,-1.170020102387923,True
0.1163265306122449,[0.2        0.2        0.2        0.49732555 0.55323571],399.12682114270456,-0.00320963882811819,0.21829471432386074,True
0.1326530612244898,[0.2        0.2        0.2        0.58168998 0.64823801],394.3308198667237,-0.0030381270104272444,1.4172950333190784,True
0.1489795918367347,[0.2        0.2        0.2        0.66325075 0.742739  ],390.4928572528623,-0.0028794726182015434,2.37678568678443,True
0.1653061224489796,[0.2        0.2        0.2        0.74817055 0.83760994],387.16690873426325,-0.0027234600017130555,3.2082728164341887,True
0.1816326530612245,[0.2       0.2       0.2       0.8360183 0.9329597],384.25125915784406,-0.0025700051077686805,3.937185210538985,True
0.1979591836734694,[0.2        0.2        0.2        0.92925407 1.        ],381.82615274554485,-0.002428479712323374,4.5434618136137885,True
0.2142857142857143,[0.2 0.2 0.2 1.  1. ],380.54604380221906,-0.0023466274523902307,4.863489049445235,True
0.2306122448979592,[0.20984083 0.2        0.2        1.         1.        ],378.6967074919839,-0.002211314698423559,5.325823127004028,True
0.2469387755102041,[0.22850391 0.2        0.2        1.         1.        ],375.4703030066954,-0.001958956000054469,6.132424248326146,True
0.263265306122449,[0.24872695 0.2        0.2        1.         1.        ],372.3266284984078,-0.0016912532383771442,6.918342875398054,True
0.2795918367346939,[0.2710772 0.2       0.2       1.        1.       ],369.2041810712369,-0.0014016442650885007,7.698954732190772,True
0.29591836734693877,[0.29477595 0.2        0.2        1.         1.        ],366.2267688850773,-0.001101011023055153,8.44330777873067,True
0.3122448979591837,[0.31939573 0.2        0.2        1.         1.        ],363.43496298574956,-0.0007950289512142456,9.141259253562609,True
0.3285714285714286,[0.34275182 0.2        0.2        1.         1.        ],361.02452491001014,-0.0005101650267645532,9.743868772497464,True
0.3448979591836735,[0.36854719 0.2        0.20413647 1.         1.        ],358.24629301659206,-0.0001563372268021221,10.438426745851984,True
0.36122448979591837,[0.39738751 0.2        0.21942431 1.         1.        ],354.5640549571793,0.0003467043556142419,11.35898626070518,True
0.37755102040816324,[0.42204584 0.2        0.23408067 1.         1.        ],351.5555756459562,0.0007865882404256302,12.111106088510951,True
0.3938775510204082,[0.45607579 0.2        0.25227207 1.         1.        ],347.88022522370136,0.001362501234767475,13.02994369407466,True
0.4102040816326531,[0.45724737 0.20282045 0.26989601 1.         1.        ],346.4995400613664,0.0015953541529190357,13.375114984658396,True
0.42653061224489797,[0.45724737 0.21631069 0.28840813 1.         1.        ],344.4235694574143,0.0019684288990585307,13.89410763564642,True
0.44285714285714284,[0.45724737 0.23230322 0.30848039 1.         1.        ],342.25197254763884,0.0023858712006175984,14.437006863090291,True
0.4591836734693878,[0.45724737 0.24728015 0.32935263 1.         1.        ],340.2768490472537,0.0027917085194608987,14.930787738186579,True
0.4755102040816327,[0.45724737 0.26628985 0.3528155  1.         1.        ],338.10021753681315,0.0032703048650693004,15.474945615796711,True
0.49183673469387756,[0.45724737 0.28249633 0.37504763 1.         1.        ],336.2959735228983,0.0036939626249621153,15.926006619275427,True
0.5081632653061224,[0.45724737 0.300516   0.40072113 1.         1.        ],334.3992397461672,0.004167860934609914,16.400190063458197,True
0.5244897959183674,[0.45724737 0.32366646 0.42985882 1.         1.        ],332.2881950369758,0.004732484261344543,16.927951240756045,True
0.5408163265306123,[0.45724737 0.34216583 0.45801006 1.         1.        ],330.57527897663357,0.0052218307804088905,17.356180255841608,True
0.5571428571428572,[0.45724737 0.36871793 0.48081966 1.         1.        ],328.81315554299937,0.005757051893665974,17.796711114250158,True
0.573469387755102,[0.45724737 0.39195321 0.48413548 1.         1.        ],327.84356218318175,0.006071606295141625,18.039109454204564,True
0.589795918367347,[0.45724737 0.41971026 0.48412587 1.         1.        ],326.87756986270034,0.006407484811797734,18.280607534324915,True
0.6061224489795919,[0.45724737 0.45099941 0.48406708 1.         1.        ],325.87799950789696,0.006780395572219148,18.53050012302576,True
0.6224489795918368,[0.45724737 0.48235428 0.48428388 1.         1.        ],324.9487609448346,0.007151386848896128,18.762809763791353,True
0.6387755102040816,[0.45724736 0.49745907 0.4842895  1.         1.        ],324.52928653552163,0.007327498608888821,18.86767836611959,True
0.6551020408163265,[0.45724732 0.48842266 0.48429551 1.         1.        ],324.7781026212561,0.007222353962282916,18.805474344685976,True
0.6714285714285715,[0.43783061 0.50805261 0.48429476 1.         1.        ],325.6183692980744,0.007230766880039256,18.595407675481397,True
0.6877551020408164,[0.45724763 0.50803499 0.48429485 1.         1.        ],324.2445149423449,0.00745018566947943,18.938871264413777,True
0.7040816326530612,[0.45724481 0.505812   0.48427669 1.         1.        ],324.3044565131812,0.007424256991106971,18.923885871704698,True
0.7204081632653062,[0.45724737 0.50805225 0.48427993 1.         1.        ],324.2445011830755,0.007450249116329903,18.938874704231125,True
0.7367346938775511,[0.45724717 0.50805158 0.48426921 1.         1.        ],324.24483910050236,0.007450143454999504,18.93879022487441,True
0.753061224489796,[0.45679245 0.50805263 0.48421882 1.         1.        ],324.2775994165843,0.007444589035801339,18.93060014585393,True
0.7693877551020408,[0.45724747 0.50805259 0.48426978 1.         1.        ],324.2447753592932,0.007450163605192877,18.938806160176696,True
0.7857142857142857,[0.45724597 0.50805263 0.48429177 1.         0.99907591],324.25110354241343,0.007449932542294092,18.937224114396642,True
0.8020408163265307,[0.45657395 0.50802347 0.48414866 1.         1.        ],324.29545807430287,0.007441165976793053,18.926135481424282,True
0.8183673469387756,[0.45724704 0.50803442 0.48429443 1.         1.        ],324.24458271698546,0.00745016868275057,18.938854320753634,True
0.8346938775510204,[0.45724737 0.50805335 0.48429246 1.         1.        ],324.2441131275689,0.0074503738518115325,18.93897171810778,True
0.8510204081632654,[0.45724882 0.50805251 0.48429674 1.         1.        ],324.2439131997682,0.00745041867484897,18.93902170005795,True
0.8673469387755103,[0.45724735 0.50805031 0.48429492 1.         1.        ],324.2441248146514,0.0074503604765669374,18.93896879633715,True
0.8836734693877552,[0.45724734 0.50805263 0.48429561 1.         1.        ],324.2440438162313,0.007450393429254283,18.93898904594218,True
0.9,[0.45724737 0.50805265 0.48427912 1.         1.        ],324.2445135467589,0.007450246573772318,18.93887161331027,True
